,0
allentownbethlehemeaston_pa,118032.0
albuquerque_nm,545852.0
adak_island_ak,326.0
kodiak_ak,6130.0
augusta_ga,
king_salmon_ak,938.0
albany_ny,97856.0
amarillo_tx,190695.0
anchorage_ak,291826.0
atlanta_ga,420003.0
appleton_wi,72623.0
austin_tx,790390.0
scrantonwilkes-barre_pa,76089.0
kalamazoo_mi,74262.0
hartford_ct,124775.0
bethel_ak,6080.0
seattle_wa,608660.0
bangor_me,33039.0
birmingham_al,212237.0
billings_mt,104170.0
bismarckmandan_nd,61272.0
bellingham_wa,80885.0
nashville_tn,601222.0
boise_id,205671.0
boston_ma,617594.0
butte_mt,33525.0
baton_rouge_la,229493.0
burlington_vt,42417.0
buffalo_ny,261310.0
burbank_ca,103340.0
baltimore_md,620961.0
columbia_sc,129272.0
akron_oh,199110.0
cold_bay_ak,108.0
manchester_nh,109565.0
miami_fl,399457.0
milwaukee_wi,594833.0
melbourne_fl,76068.0
moline_il,43483.0
mobile_al,195111.0
minot_nd,40888.0
madison_wi,233209.0
minneapolis_mn,382578.0
new_orleans_la,343829.0
moses_lake_wa,20366.0
pensacola_fl,51923.0
oakland_ca,390724.0
kahului_hi,26337.0
oklahoma_city_ok,579999.0
omaha_ne,408958.0
ontario_ca,163924.0
chicago_il,2695598.0
norfolk_va,242803.0
oshkosh_wi,66083.0
west_palm_beachpalm_beach_fl,103190.0
portland_or,583776.0
philadelphia_pa,1526006.0
phoenix_az,1445632.0
peoria_il,115007.0
pittsburgh_pa,305704.0
palm_springs_ca,152750.0
port_heiden_ak,102.0
pullman_wa,29799.0
chattanooga_tn,167674.0
charleston_sc,120083.0
cedar_rapidsiowa_city_ia,126326.0
cleveland_oh,396815.0
charlotte_nc,731424.0
columbus_oh,787033.0
champaignurbana_il,81055.0
colorado_springs_co,416427.0
casper_wy,55316.0
corpus_christi_tx,305215.0
charlestondunbar_wv,51400.0
cincinnati_oh,296943.0
daytona_beach_fl,61005.0
dayton_oh,
washington_dc,601723.0
denver_co,600158.0
detroit_mi,713777.0
dallasfort_worth_tx,1197816.0
des_moines_ia,203433.0
eagle_co,10266.0
el_paso_tx,649121.0
eugene_or,156185.0
newark_nj,277140.0
fresno_ca,494665.0
fort_lauderdale_fl,165521.0
sioux_falls_sd,153888.0
fort_wayne_in,253691.0
galena_ak,470.0
grand_canyon_az,48571.0
spokane_wa,208916.0
grand_junction_co,58566.0
grand_rapids_mi,188040.0
greensborohigh_point_nc,269666.0
greer_sc,25515.0
great_falls_mt,58505.0
honolulu_hi,47698.0
aguadilla_pr,13310.0
charlottesville_va,43475.0
los_angeles_ca,3792621.0
lafayette_la,120623.0
new_york_ny,8175133.0
little_rock_ar,193524.0
lincoln_ne,258379.0
saginawbay_citymidland_mi,713777.0
kansas_city_mo,459787.0
orlando_fl,238300.0
harrisburg_pa,49528.0
memphis_tn,646889.0
missionmcallenedinburg_tx,129877.0
monterey_ca,150441.0
providence_ri,178042.0
portland_me,66194.0
rapid_city_sd,67956.0
raleighdurham_nc,403892.0
richmond_va,204214.0
reno_nv,225221.0
roanoke_va,97032.0
rochester_ny,210565.0
fort_myers_fl,165521.0
san_diego_ca,1307402.0
san_antonio_tx,1327407.0
savannah_ga,136286.0
santa_barbara_ca,945942.0
louisville_ky,597337.0
san_francisco_ca,1307402.0
springfield_mo,159498.0
shreveport_la,199311.0
san_jose_ca,1307402.0
san_juan_pr,381931.0
salt_lake_city_ut,186440.0
sacramento_ca,466488.0
santa_ana_ca,945942.0
sarasotabradenton_fl,57357.0
st_louis_mo,319294.0
charlotte_amalie_vi,
christiansted_vi,
sioux_city_ia,82684.0
syracuse_ny,145170.0
tallahassee_fl,181376.0
toledo_oh,287208.0
tampa_fl,335709.0
tulsa_ok,391906.0
tucson_az,520116.0
knoxville_tn,178874.0
yakima_wa,91067.0
sandpoint_ak,
twin_falls_id,56813.0
unalakleet_ak,688.0
youngstownwarren_oh,66982.0
aniak_ak,501.0
las_vegas_nv,583756.0
la_crosse_wi,51320.0
mcgrath_ak,346.0
medford_or,74907.0
fort_dix_nj,35345.0
bozeman_mt,37280.0
kenai_ak,7850.0
guam_tt,
houston_tx,2099451.0
white_plains_ny,56853.0
harlingensan_benito_tx,1327407.0
huntsville_al,180105.0
wichita_ks,382368.0
indianapolis_in,820445.0
islip_ny,34450.0
hilo_hi,43263.0
jackson_wy,9577.0
jacksonville_fl,821784.0
johnston_island_tt,
kona_hi,
lansing_mi,114297.0
lubbock_tx,229573.0
long_beach_ca,462257.0
lihue_hi,
midlandodessa_tx,111147.0
fairbanks_ak,
fayetteville_nc,200564.0
juneau_ak,31275.0
